,0,1,2,3,4,5,6,7,8,9,10,11,mean,se
RMSE,0.3930604965272717,0.5260187899535592,0.33256698849844557,0.29618271752186043,0.22683586429855773,0.5338414535198504,0.46280374972694655,0.3702383053820391,0.5207515917767811,0.4167597358175622,0.4868366894407857,0.33758580243865194,0.408623515408526,0.027561692349782393
M2,0.5726881187145263,0.6198619574400827,0.7446042278984359,0.7912378677126687,0.6323264986511673,0.45693964335529397,0.3920482884382935,0.45417764129630006,0.4793705578571901,0.608572544890383,0.606627139437929,0.729855355296907,0.5906924867490982,0.03487415961381054
M5,0.18805749037061448,0.28419940377513736,0.10778514802052286,0.06081850119882423,0.10201179999832302,0.2958914102781254,0.27993302795654956,0.1536183511536968,0.24358844525748338,0.11475942618698978,0.25764996057096934,0.13796718486016663,0.18552334580228355,0.023013770299599928
MAE,0.2658080589564224,0.39884549956860094,0.2342327008375409,0.2206508898503428,0.17368366882239225,0.35861298277546544,0.33113981923720825,0.25403946128223276,0.4146804831330355,0.3336641750666496,0.391161069064071,0.2511767839748209,0.3023079660473986,0.021881866162815435
R2,0.38700778921432233,0.40292937643529625,0.6480446600673935,0.6194354122163517,0.7067122125397614,-0.1446731422158294,-0.1865037618930565,-0.07237127162804535,-0.20909909524004777,0.026531128745812094,0.40348814582672143,0.6942601079545464,0.2729801301686022,0.10107722715774756
