"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.46971221336834e-37,8.49165853687249e-34,5.1542337158639e-21,1.19927047237871e-20,1.90481265044729e-19,5.2389692329361e-15,2.28584797704644e-11,1.10925059883406e-09,2.17738450471832e-08,2.57341824893209e-08,1.25813966860003e-07,1.34722447827065e-07,8.86695815792344e-06,0.00121951547752632,0.154820329913936,0.184660405750333,0.242880168799908,0.320928105774539,0.486717928129821,0.824598277958842,0.767397045755963,0.666101944601006,0.412795170198779,0.0730312592013947,0.0148958054614847,0.00789228928095679,0.000670152453678567,0.000996380094219172,0.00211629624526405,0.00279785814998717,0.0121942725193856,0.02489758938614,0.0622277127531586,0.0742879082349585,0.570163384799462,0.208482944449308,0.198746336690253,0.0693867423486694,0.0665178054710875,0.129305714411911,0.28789385484596,0.530050839192391,0.551967279795436,0.494682365879186,0.311006005223635,0.0189695722785072,0.00196568586401525,9.00583814771049e-05,3.3799268218164e-07,2.521823753878e-09,6.89996398589068e-11,1.38974395589853e-06,0.000332844305421452,0.000910183304575515,0.00397860228106831,0.00983322984222319,0.0147693550685308,0.106139463542888,0.408385023281434,0.637532014811918,0.606857638192227,0.329633549321712,0.251413149652408,0.109289566051375,0.0376368534433822,3.14264742669973e-05,8.65350144312928e-06,4.47374068058944e-06,5.01913703553015e-10,7.89209607251321e-11,0,0,0,0,0,0,0,0,0,4.00167421987086e-29,1.87706024104618e-28,7.37021581160679e-28,1.18425403063459e-27,4.81599115322352e-27,4.83794962086179e-27,1.25366719666773e-26,3.33545656162763e-17,2.42752783834966e-09,8.25508727130852e-08,1.85322469143078e-05,0.00014387556544778,0.000344762943777987,0.000913445854655822,0.00436365139962282,0.0079966584944078,0.168591347539395,0.474500591891621,0.475829871454402,0.0301371174506545,0.022554106714067,0.0451557804913866,0.0490998392608013,0.307169001190293,0.399018153106398,0.405582842547072,0.0479772083476933,0.0301257367352313,0.0272523448294511,0.0106195010967276,0.00588535986178635,0.000494281716105765,2.70723522047216e-05,0.000122868652223114,0.0223963218559221,0.283729701121804,0.409831189127661,0.419309178407149,0.483657937847896,0.534990898320296,0.525120856056561,0.103174390761983,0.0925480513554912,0.0641780699467333,0.16588271375498,0.168557817824237,0.202177924203263,0.330216548935693,0.466187424463784,0.0148467660411631,0.00199183965031157,0.000869285589564951,0.000111558920243373,1.4791971670848e-07,2.17151029799188e-07,3.48222953404804e-06,0.000208493542178501,0.00445293813718201,0.0679691299877086,0.110924294008711,0.168429367701599,0.178283174786432,0.392756530941435,0.397888987838917,0.39814204061905,0.348946089283491,0.0453572607545849,0.0211937200081947,0.0705902013620671,0.179671305636513,0.466274841923763,0.443024076898978,0.393832952240858,0.223529979344359,0.0309282733988614,0.0301814455828155,0.0273619840788122
0,0,0,0,0,0,0,0,0,0,0,0,2.0282931993937e-39,9.02906292395213e-36,2.01976815337365e-32,6.00630200455155e-30,3.92034636076418e-28,3.37814435070774e-15,7.01883784226368e-15,2.80780246649785e-14,7.29424934198298e-13,1.74654452776682e-10,0.000101762846659791,0.103051877143973,0.159646905882341,0.297290999320192,0.708303367173716,0.724527791198222,0.791516184100311,0.79311031945431,0.39329834424855,0.359600934253455,0.338557043977433,0.105779912289422,0.076710860785617,0.0220035670327679,0.00152095943234894,4.17764839435713e-05,1.86918773132839e-05,7.92824123797709e-08,1.79856807654806e-07,9.32647338885844e-07,1.76218222574448e-05,0.000251193223443231,0.190876403179269,0.667350064251422,0.666588050349552,0.627384926956663,0.0961253479935137,0.0558509025986211,0.00086028720462511,2.35576601210158e-05,0.000410155683469872,0.000988229891853488,0.00383948902626482,0.0597044240402714,0.0973940889688159,0.104974307326916,0.105865706177527,0.167822738310439,0.262815195789477,0.341558484543717,0.356400619645864,0.357348122761786,0.182978597612292,0.0379296585184198,0.0116380494938436,0.114917847074824,0.140167719932126,0.203847651368041,0.382951706298906,0.565162012943999,0.0575886622004914,0.00187045938072658,2.41418757136433e-05,1.5091227203211e-07,2.11578569523458e-09,1.30365948163792e-10,7.21673201701542e-13,5.44536631476355e-14,3.13196553933922e-14,0,0,0,0,0,0,1.92641261102904e-45,4.44183701475895e-45,1.27114178583878e-41,6.61364525099016e-41,1.89098235464278e-27,2.7419419405137e-27,2.94631291576425e-27,7.63299337992143e-19,1.22587383548933e-13,0.000181336073651363,0.00452756712795885,0.00964573922485557,0.0169643827094655,0.0704788820866898,0.15055549312171,0.334434453475289,0.469921834020781,0.404688182146956,0.0709714004780463,0.00399592295746964,0.00088622480012042,0.000295538800744434,2.83856455168843e-05,1.60529029809689e-08,2.4713061674831e-11,1.73134252339895e-15,2.16780013339367e-13,4.80996677747539e-11,1.86782988323951e-10,1.71726270484574e-08,1.07793510200055e-06,0.000312109568984945,0.000530064671513191,0.0546739907368669,0.323713627641442,0.353326282117114,0.683753495253434,0.651729482701656,0.0274807918714212,0.2021636591952,0.29640008901578,0.195127657164191,0.193462042192528,0.182692066228712,0.180983708074299,0.308114684069907,0.385309501138684,0.370525148170838,0.00953318495078942,7.09735611556387e-06,2.33645146640695e-07,3.27741505354579e-07,1.1160081649701e-05,4.10771682155168e-05,6.71927027137311e-05,0.000178737479301974,0.000486609525026367,0.0725343292784942,0.134070333347114,0.552314258262138,0.182187948299184,0.046267767375652,0.0123354404276688,0.000290176069774682,0.00019541474272117,2.93015351591189e-06,2.09174425673242e-08,8.90066120903387e-10,4.74804315198337e-10,2.67066359662745e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8.96746202006183e-27,1.14900380126993e-23,1.22554287043943e-20,6.24686596445192e-18,8.27387236809347e-15,3.79898636401852e-13,5.89143203305226e-09,1.76654996542409e-07,1.9638205237734e-07,1.83541163816237e-06,0.000955314512573281,0.0012872802206605,0.209000805443809,0.27304550982578,0.480542001597631,0.545254514817252,0.52470382298956,0.484424995942952,0.465182804761513,0.369498429277544,0.0916571941483155,0.000598087031274792,0.000380930696112672,5.14365862810049e-05,2.50161094935896e-05,1.26525991109632e-11,4.84725721697894e-10,7.94714514952594e-06,1.06354204454334e-05,0.00749154126004953,0.171058715481512,0.188249695123414,0.234164373154635,0.553137629452894,0.624330583929951,0.640800715382388,0.612889302940863,0.46590918448964,0.148544438811168,0.107674904148494,0.0818456519820839,0.00528322398293983,3.06040743529193e-05,3.18929455178651e-09,1.98422140312094e-05,5.61051536410286e-05,0.00960559232610834,0.0183802685158131,0.0327236091102388,0.0779230125732581,0.0786091878645979,0.314069185647705,0.398212005881783,0.434658946450921,0.372522507173355,0.264499658940288,0.124291363992337,0.0547301172667417,0.0521108479637162,0.0397135809621408,0.0106676582333543,0.0014204462731614,0.000635151478997193,0.000520250347210244,7.34858005584549e-05,0,0,0,0,0,0,0,0,0,0,4.14607694675103e-21,2.5503326154219e-19,1.66714173864068e-18,4.08143041714682e-13,1.18980267084068e-11,5.03282412267848e-09,7.08996128476983e-09,9.16734363587348e-08,2.02527980806096e-07,4.39600128455269e-05,0.000215260689689419,0.00233598309385246,0.0106555192250571,0.0763510993134439,0.370515727219995,0.231836492900307,0.22892819616418,0.0904652949074571,0.0198935912505266,0.00282279277492188,0.000418108242482901,0.000116144614531912,0.00305731611537537,0.00650463293964713,0.071117524186574,0.120170691733303,0.137884239597482,0.143492920569528,0.39938487845943,0.073873800204034,0.0786777051423126,0.109270094393608,0.205324020397659,0.350767742108405,0.424636561402753,0.356426158411945,0.268596041032961,0.0679060496780648,0.114885255966194,0.128468231767687,0.131324750570791,0.26590774421013,0.294677361575535,0.00167149789041038,0.00123180331707779,0.00100342268047786,0.00092245689493751,0.00898899057749193,0.0534370392161939,0.054206849958011,0.284726825188365,0.400222535548994,0.443204406384317,0.414883238133729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
