,0,1,2,3,4,5,6,7,8,9,10,11,mean,se
RMSE,0.39893827635605017,0.5625783637603056,0.3233181723710153,0.29815375926192683,0.30780536373688594,0.5889676067299436,0.4488157671317495,0.32761020986651124,0.5007915208485468,0.41473465136182686,0.4978220649488375,0.33738923048574493,0.41724374890494537,0.0282369220228111
M2,0.610407992862726,0.5888200611454631,0.6786999639398333,0.7764039985851471,0.5282859216297938,0.47435489065108905,0.44635544895321655,0.2753696262025603,0.5000910719180041,0.6462255871448292,0.5312623276323262,0.7430683938161766,0.5666121070400972,0.038315350633538435
M5,0.1714571916659151,0.30740699531102067,0.13559884590404414,0.06514004015529415,0.1308780808041972,0.286402553248434,0.2549271474013109,0.20394276900459066,0.23389387672859702,0.10372023752786919,0.3070121376220423,0.1312190750467882,0.19429991253500864,0.022999480466612963
MAE,0.26985836413052283,0.42951854076594514,0.2207189084219165,0.2222954565060878,0.2107284835756025,0.4075061704601168,0.32027301458780083,0.23318909231303084,0.40001403395613533,0.3300127725312771,0.38801308737973755,0.2449811522762181,0.3064257564086993,0.022911392957988823
R2,0.40755841607214494,0.2810451384431689,0.6350467921661334,0.6069852712681741,0.35360907609065617,-0.34213183726900365,0.01990017013381462,-0.3848637371280068,-0.07185706188839314,0.09213889273010945,0.28778096481537063,0.7000463147524996,0.2154382000155557,0.09989535458415298
