,0,1,2,3,4,5,6,7,8,9,10,11,mean,se
RMSE,0.4217736730796142,0.5232661438489675,0.35643142575021347,0.3002853909679675,0.3133936577432603,0.6470915950983026,0.44432378226790803,0.3767313585921566,0.4901543026358369,0.4153319813239133,0.4834937085746022,0.3315262173350518,0.42531693643481616,0.027751646620801453
M2,0.3699692838343134,0.6385990162233657,0.6293524064145267,0.7825169725152482,0.5351933516056988,0.46415478572109053,0.4217719600378722,0.2665747225578506,0.3972098814476256,0.6296803892179795,0.5290839813076065,0.7451420176222983,0.534104064042123,0.04331427861510503
M5,0.2772728784935561,0.27019117429394984,0.15642508648175169,0.063359152461617,0.12896159957120254,0.29196017386241047,0.2662466820928584,0.20641804062897923,0.2820292052451206,0.10857098929668316,0.3084389031692938,0.13016004224862193,0.20750282732050374,0.02363635029618926
MAE,0.2778029222139905,0.41495780667564564,0.23455088760753515,0.22393363024769583,0.2170311575508738,0.4514339871897121,0.3248861194999414,0.2544254116458424,0.3881244775491559,0.32911028393676794,0.3902913125775982,0.24592011271844505,0.3127056757844337,0.02267576517497988
R2,-0.092565792577183,0.4264976541911043,0.5216862566752165,0.6044597780070682,0.3385734605026859,-0.6557105951034568,-0.016567821491182855,-0.8917023361295484,-0.2927591948518633,0.0655985663801113,0.32542327104373614,0.7111866505716714,0.08700999143486328,0.13891548645592736
